Number,Location,Species,Wood Type,CTW Tmin,CTW Tmax,Latitude,Longitude,Slope April - April:June-July Tmax,P-value April - April:June-July Tmax,Slope June-July - April:June-July Tmax,P-value June-July - April:June-July Tmax,Slope April:June-July Tmax,P-value April:June-July Tmax,January,January Sig,February,February Sig,March,March Sig,April,April Sig,May,May Sig,June,June Sig,July,July Sig,August,August Sig
13,"Arnot Forest, NY",Quercus rubra,RP,0.464705888,12.26386578,42.2716167,-76.6267667,0.017144861,0.898416308,-0.0398961,0.54420648,-0.000665018,0.899823654,0.093686508,NS,-0.139564106,NS,-0.124990244,NS,-0.075111323,NS,-0.230975381,<0.05,-0.334477623,<0.002,-0.340750113,<0.002,-0.136741905,NS
14,"Goose Egg Ridge, NY",Quercus rubra,RP,-0.589915974,12.47479012,43.0683333,-73.29,-0.346205111,0.015398446,-0.187752907,0.008327334,0.012888186,0.019590912,-0.037077742,NS,-0.165963748,<0.05,-0.176052944,<0.05,-0.238026124,<0.05,0.03493505,NS,-0.257548852,<0.002,-0.100697729,NS,0.00961403,NS
15,"Goose Egg Ridge, NY",Quercus alba,RP,-0.589915974,12.47479012,43.0683333,-73.29,-0.094756054,0.58583893,-0.092718327,0.276498475,0.003473298,0.606441893,-0.028014178,NS,-0.066513783,NS,-0.06764458,NS,-0.101595138,NS,-0.095181277,NS,-0.253599881,<0.05,-0.342830023,<0.002,-0.03270393,NS
16,"Goose Egg Ridge, NY",Quercus mongolica,RP,-0.589915974,12.47479012,43.0683333,-73.29,-0.29290317,0.101154522,-0.171642106,0.050071072,0.01101333,0.111751206,0.063955133,NS,-0.031709064,NS,-0.133310679,NS,-0.1517381,NS,-0.048049812,NS,-0.21511919,<0.05,-0.20538038,<0.05,0.020577291,NS
17,"Stott Farm, Argyle, NY",Carya glabra,RP,-0.589915974,12.47479012,43.188,-73.4988333,-0.034806334,0.822011732,-0.075579655,0.31881201,0.001492786,0.803486505,-0.131542026,NS,0.017351377,NS,-0.018098241,NS,0.007372282,NS,0.049694407,NS,-0.437856662,<0.002,-0.282876786,<0.05,-0.135286581,NS
18,"Breglia Cliffs, NY",Quercus mongolica,RP,-0.00504202,12.62521026,42.6085833,-74.31815,-0.051459639,0.711234868,-0.065960779,0.345580158,0.00210656,0.699171307,0.12813813,NS,0.102170686,NS,0.051226204,NS,-0.005172158,NS,-0.126199993,NS,-0.267971457,<0.002,-0.320088639,<0.002,-0.084875784,NS
19,"Curtiss-Gale Wildlife Preserve, NY",Quercus rubra,RP,2.210084064,12.6537817,43.2885833,-76.3885333,0.297398074,0.016850425,0.121039489,0.046594083,-0.011689152,0.015436287,0.057519507,NS,-0.080597102,NS,-0.103127872,NS,-0.125184787,NS,-0.004495667,NS,-0.224206277,<0.05,-0.179207664,NS,-0.146210357,NS
20,"Whiskey Hollow, NY",Quercus mongolica,RP,2.210084064,12.6537817,43.119135,-76.386846,0.004238953,0.978995977,-0.042307484,0.59282344,1.36E-06,0.999826717,-0.016140451,NS,0.115003478,NS,-0.089226831,NS,-0.00726576,NS,-0.110437295,NS,-0.274977258,<0.05,-0.218180235,<0.05,-0.067369314,NS
21,"Mt.Agamenticus, ME",Quercus mongolica,RP,0.568907573,12.9504204,43.22805,-70.6892,0.313333424,0.149340841,0.131150684,0.239471842,-0.012281924,0.14834588,0.133643937,NS,-0.035901658,NS,0.017716449,NS,-0.031901995,NS,-0.05407199,NS,-0.236233401,<0.05,-0.144799141,NS,0.055209046,NS
22,"Prospect Mountain, NY",Carya ovata,RP,0.289915971,13.01764731,43.4216667,-73.57,0.02928298,0.862704245,-0.018850313,0.82473168,-0.001427773,0.824267132,0.068168732,NS,0.042103477,NS,-0.105154161,NS,-0.148210546,NS,0.140419519,NS,-0.258818112,<0.05,-0.243541,<0.05,-0.030310176,NS
