tmax_q5, tmax_q10, tmax_q50, tmax_q90, tmax_q95, tmin_q5, tmin_q10, tmin_q50, tmin_q90, tmin_q95, tavg_q5, tavg_q10, tavg_q50, tavg_q90, tavg_q95, prec_q5, prec_q10, prec_q50, prec_q90, prec_q95, prec_q99, HW_TN90, HW_TX90, HW_TAVG90
-5.0882829502, -4.23350526666667, 3.4549055, 14.0092623333333, 17.700969, -17.8802395, -13.9953286666667, -3.1507635, 4.19152446666667, 5.78974239999999, -10.55969925, -9.27171994546667, 0.415058944249993, 7.7913795, 10.258842675, NA, NA, NA, NA, NA, NA, 2.44240043333333, 13.8321496666667, 7.30025501666666
-5.3072356, -4.23350526666667, 3.4549055, 13.7915443333333, 17.662161, -17.8802395, -14.157976149, -4.542546, 2.8358324, 5.78974239999999, -10.55969925, -9.55754235, -1.181076, 8.30902556166667, 10.258842675, NA, NA, NA, NA, NA, NA, 2.65100773333333, 14.2789407026667, 7.74855503999999
-4.60014625, -3.7487117, 4.1690625, 13.5679666666667, 16.442105, -17.8802395, -14.1796583333333, -5.186757, 4.11629686666667, 5.78974239999999, -10.55969925, -9.19882818333333, -1.181076, 8.30902556166667, 9.75290955, NA, NA, NA, NA, NA, NA, 2.8491489, 14.4505170706667, 7.97965692666667
-4.3126523, -3.40188052196667, 4.8331985, 15.0300176666667, 16.708317, -15.800321, -13.7262414076667, -5.186757, 1.80918606666667, 4.1489806, -9.76194545, -8.71123063333333, -0.368859500000001, 8.16831662166667, 9.63732615, NA, NA, NA, NA, NA, NA, 2.89157566666666, 14.548863, 8.03655413333333
-5.00050115, -1.27225089293334, 4.8331985, 14.548863, 16.708317, -13.984202, -13.4629629606667, -5.2723, 1.80918606666667, 4.1489806, -10.3970075, -7.54239353763333, -0.368859500000001, 8.16831662166667, 9.63732615, NA, NA, NA, NA, NA, NA, 2.92743803333333, 15.0300176666667, 8.80884267166667
-5.6601852, -0.4493560808, 5, 14.999708, 17.264778, -13.976754, -13.4074074046667, -5.52403, 2.53939606666667, 4.988569, -10.4942359, -7.18137763306667, -0.637725500000002, 8.90319677666667, 9.9878207, NA, NA, NA, NA, NA, NA, 2.92743803333333, 15.7392226666667, 8.80884267166667
-3.453926, -0.0577356933333335, 4.666397, 14.999708, 18.421734, -16.463094, -13.9370313333333, -5.674098, 4.10121206666667, 6.7541172, -10.31116, -7.31159784333333, -1.3888888885, 9.55419576666667, 11.8410356, NA, NA, NA, NA, NA, NA, 2.92743803333333, 15.7392226666667, 8.92952506428333
-5.215688, -0.287044533333334, 5.451897, 16.3899846666667, 19.35144, -17.38923, -14.3660953333333, -6.184663, 2.4009246, 6.7541172, -11.9790572, -8.33693756, -1.1866255, 9.8504139, 12.2188289, NA, NA, NA, NA, NA, NA, 2.92743803333333, 15.7392226666667, 8.92952506428333
-5.215688, -2.43076133333333, 5.451897, 17.9155034093333, 19.876806, -17.38923, -14.3660953333333, -6.270858, 6.11276322953333, 8.2239148, -11.9790572, -9.1115345, -1.1866255, 11.0623485594, 14.2334774, NA, NA, NA, NA, NA, NA, 2.43992176666666, 15.7392226666667, 8.92952506428333
-4.578015, -2.2010712, 5.555555556, 17.9155034093333, 19.876806, -17.38923, -14.2637073333333, -6.502448, 3.45170274813333, 8.2239148, -10.31116, -8.31804256, -0.277777777500003, 11.0623485594, 14.2334774, NA, NA, NA, NA, NA, NA, 2.94245433333333, 15.90631, 9.12216728833333
