"","tag","year","L","K","doy_ip","r","theta","a","b"
"789",160985,2011,829.827465281626,835.642388927971,163.068928473974,0.0383451887362538,2.74325117324243,829.9,835.637424548459
"790",160985,2012,836.255523506991,839.962449932235,191.297571000939,0.0489892210508089,2.4850463993781,836.491570546149,839.961077731338
"791",160985,2013,683.729726207893,844.017011687353,141.742149705303,0.0263114161477865,209.618300356356,840.02768624979,844.005734820883
"792",160985,2014,845.89202200443,849.04884335422,176.547042967483,0.0547870958150288,0.842808063041679,845.907760913159,849.0350628
"793",160985,2015,848.644359181739,852.127004471676,185.76974306449,0.0545038584582409,1.992640876663,848.6673884,852.124514283197
"794",160985,2016,851.705838449117,855.11520211548,192.429926361072,0.0571413364890493,3.08882397203184,851.75035823599,855.110365334074
"795",160985,2017,854.144173159391,858.252588308758,192.878196286254,0.0412733880540018,4.34390736425344,854.6295691,858.24761512807
"796",160985,2018,858.440224788822,862.465361927487,177.281167247108,0.0409239052411573,1.344406349595,858.498693878929,862.402297771969
"797",160985,2019,862.281255076888,873.367236212521,211.125617015887,30.8515981337028,2.62510295405877,862.827680754332,873.303959909585
"798",40566,2013,270.203148768384,270.423039102248,181.634367802357,12.5170565706494,0.039488222764538,270.212957082465,270.423039102248
"799",40566,2014,270.209722390469,273.622732121933,158.521210713315,0.0815672679327747,1.66906524740453,270.232673027295,273.6213256106
"800",40566,2015,272.951472820426,276.289627364509,138.252793525402,0.067359381379278,0.932011745133206,273.015977526495,276.263567506693
"801",40566,2016,275.768459224175,278.726251447471,146.6282006642,0.0511442243122924,0.840115295728661,275.943932015522,278.680285884842
"802",40566,2017,277.878849868025,281.732377890117,169.74849466398,0.058828472207626,5.45831501372178,278.364975654578,281.727400318746
"803",40566,2018,280.605737618516,284.850971940194,184.54095763482,0.0338975042425581,4.66293305920579,280.9713255,284.838904420102
"804",40566,2019,283.871307802731,287.490159550142,146.020745142586,0.0775044915239207,1.11961533605906,283.914928260677,287.459073100584
"805",60587,2013,70.509348600178,71.0065571819527,213.464571682526,0.0933467634082843,2.64612934709205,70.5144070318928,71.0012612236378
"806",60587,2014,71.0169284276412,72.7128873080538,196.194448492919,0.0422387067431255,2.78729314074281,71.119142764072,72.7053349690631
"807",60587,2015,72.5496673551932,73.6375533193533,200.70822997197,0.047966614630405,8.85935905975099,72.5797347103409,73.6224158941729
"808",60587,2016,73.5846265846923,75.202694390201,237.882393700625,0.0471944193741866,16.6667600767733,73.6172803447239,75.2001485101586
"809",60587,2017,75.312122986856,76.5329433742665,209.997066779914,0.0612942509501103,7.4890905178723,75.35023765,76.5327511079686
"810",60587,2018,77.0260348658414,78.2677947229978,169.977232209692,0.105103309757406,0.818045312488953,77.058009361679,78.2133787679882
"811",60587,2019,76.7891861202406,81.4828477917529,95.5828757181171,0.334790248936917,20.5494601831988,78.189705388504,81.3921086088927
"812",40567,2013,93.1905461897331,94.3135032467373,220.527966653132,0.0653773088546794,7.58692439642239,93.3,94.3127841564987
"813",40567,2014,93.268987755509,95.052851532997,159.205286233013,0.0740150145525257,0.518704158282696,93.3018401937585,95.0527490462421
"814",40567,2015,95.1947795825017,96.7081284009611,198.86174412134,0.0721026213758545,7.33146685586035,95.2548141386508,96.7080372378291
