cur_sp,variable,p-value,est,lat,lon
Big_Canoe_QUAL,apr_jun_apr,0.001388728,0.035693254,34.475663,-84.329251
Big_Canoe_QUAL,apr_jun,0.000168864,-0.001169612,34.475663,-84.329251
Big_Canoe_QUAL,jun,0.000181544,-0.025273749,34.475663,-84.329251
Big_Canoe_QUAL,apr_jun_jul_apr,0.004825461,0.038221939,34.475663,-84.329251
Big_Canoe_QUAL,apr_jun_jul,0.001869336,-0.001223421,34.475663,-84.329251
Big_Canoe_QUAL,jun_jul,0.002008263,-0.02672561,34.475663,-84.329251
Big_Canoe_QUAL,apr_summer_apr,0.043277837,0.032600009,34.475663,-84.329251
Big_Canoe_QUAL,apr_summer,0.032711093,-0.001112446,34.475663,-84.329251
Big_Canoe_QUAL,may_aug,0.035317345,-0.023706396,34.475663,-84.329251
"Black_Rock_Blueberry_Fields,_Black_Rock_Forest_QURU",apr,0.470921231,-0.022592893,41.383,-74.017
"Black_Rock_Blueberry_Fields,_Black_Rock_Forest_QURU",apr_jun_apr,0.550843322,-0.046483704,41.383,-74.017
"Black_Rock_Blueberry_Fields,_Black_Rock_Forest_QURU",apr_jun,0.737396276,0.000853452,41.383,-74.017
"Black_Rock_Blueberry_Fields,_Black_Rock_Forest_QURU",jun,0.995791734,0.000196999,41.383,-74.017
"Black_Rock_Blueberry_Fields,_Black_Rock_Forest_QURU",apr_jun_jul_apr,0.352287302,-0.097982771,41.383,-74.017
"Black_Rock_Blueberry_Fields,_Black_Rock_Forest_QURU",apr_jun_jul,0.453010178,0.002615371,41.383,-74.017
"Black_Rock_Blueberry_Fields,_Black_Rock_Forest_QURU",jun_jul,0.671126159,0.021662341,41.383,-74.017
"Black_Rock_Blueberry_Fields,_Black_Rock_Forest_QURU",apr_summer_apr,0.417441108,-0.093023628,41.383,-74.017
"Black_Rock_Blueberry_Fields,_Black_Rock_Forest_QURU",apr_summer,0.522974732,0.002563738,41.383,-74.017
"Black_Rock_Blueberry_Fields,_Black_Rock_Forest_QURU",may_aug,0.765060674,0.017386449,41.383,-74.017
Blue_Ridge_Parkway/Patty's_Oaks_update_QUMO,apr,0.155646197,-0.006039532,37.53643333,-79.49488333
Blue_Ridge_Parkway/Patty's_Oaks_update_QUMO,apr_jun_apr,0.99659644,4.27E-05,37.53643333,-79.49488333
Blue_Ridge_Parkway/Patty's_Oaks_update_QUMO,apr_jun,0.502748598,-0.000204467,37.53643333,-79.49488333
Blue_Ridge_Parkway/Patty's_Oaks_update_QUMO,jun,0.42495808,-0.004709144,37.53643333,-79.49488333
Blue_Ridge_Parkway/Patty's_Oaks_update_QUMO,apr_jun_jul_apr,0.367588087,0.011521155,37.53643333,-79.49488333
Blue_Ridge_Parkway/Patty's_Oaks_update_QUMO,apr_jun_jul,0.147076593,-0.000583023,37.53643333,-79.49488333
Blue_Ridge_Parkway/Patty's_Oaks_update_QUMO,jun_jul,0.108301333,-0.012480774,37.53643333,-79.49488333
Blue_Ridge_Parkway/Patty's_Oaks_update_QUMO,apr_summer_apr,0.941588689,0.000990552,37.53643333,-79.49488333
Blue_Ridge_Parkway/Patty's_Oaks_update_QUMO,apr_summer,0.584134122,-0.000250853,37.53643333,-79.49488333
Blue_Ridge_Parkway/Patty's_Oaks_update_QUMO,may_aug,0.546206014,-0.005360786,37.53643333,-79.49488333
"Bronx,_Hunter_Island,_NY_QUST",apr,0.132947667,-0.01124525,40.8754556,-73.7900333
"Bronx,_Hunter_Island,_NY_QUST",apr_jun_apr,0.111758679,0.030544711,40.8754556,-73.7900333
"Bronx,_Hunter_Island,_NY_QUST",apr_jun,0.019489449,-0.001463421,40.8754556,-73.7900333
"Bronx,_Hunter_Island,_NY_QUST",jun,0.010428818,-0.022397592,40.8754556,-73.7900333
"Bronx,_Hunter_Island,_NY_QUST",apr_jun_jul_apr,0.046541301,0.050337242,40.8754556,-73.7900333
"Bronx,_Hunter_Island,_NY_QUST",apr_jun_jul,0.011469388,-0.002092029,40.8754556,-73.7900333
"Bronx,_Hunter_Island,_NY_QUST",jun_jul,0.003779397,-0.033441888,40.8754556,-73.7900333
"Bronx,_Hunter_Island,_NY_QUST",apr_summer_apr,0.076847455,0.049720424,40.8754556,-73.7900333
"Bronx,_Hunter_Island,_NY_QUST",apr_summer,0.025289801,-0.002173763,40.8754556,-73.7900333
"Bronx,_Hunter_Island,_NY_QUST",may_aug,0.010001635,-0.034125547,40.8754556,-73.7900333
"Curtiss-Gale_Wildlife_Preserve,_Fulton,_NY_QURU",apr,0.240369262,-0.006900712,43.28858333,-76.38853333
"Curtiss-Gale_Wildlife_Preserve,_Fulton,_NY_QURU",apr_jun_apr,0.053532502,0.033150515,43.28858333,-76.38853333
"Curtiss-Gale_Wildlife_Preserve,_Fulton,_NY_QURU",apr_jun,0.013839967,-0.001576381,43.28858333,-76.38853333
"Curtiss-Gale_Wildlife_Preserve,_Fulton,_NY_QURU",jun,0.020630656,-0.018485992,43.28858333,-76.38853333
"Curtiss-Gale_Wildlife_Preserve,_Fulton,_NY_QURU",apr_jun_jul_apr,0.01712497,0.055043636,43.28858333,-76.38853333
"Curtiss-Gale_Wildlife_Preserve,_Fulton,_NY_QURU",apr_jun_jul,0.005842289,-0.002266493,43.28858333,-76.38853333
"Curtiss-Gale_Wildlife_Preserve,_Fulton,_NY_QURU",jun_jul,0.009691865,-0.026387316,43.28858333,-76.38853333
"Curtiss-Gale_Wildlife_Preserve,_Fulton,_NY_QURU",apr_summer_apr,0.070480037,0.042936654,43.28858333,-76.38853333
"Curtiss-Gale_Wildlife_Preserve,_Fulton,_NY_QURU",apr_summer,0.030969775,-0.001977989,43.28858333,-76.38853333
"Curtiss-Gale_Wildlife_Preserve,_Fulton,_NY_QURU",may_aug,0.055701736,-0.021908764,43.28858333,-76.38853333
DanielBoone_London_District_FAGR,apr,0.968456559,0.000303863,37.13,-84.27
DanielBoone_London_District_FAGR,apr_jun_apr,0.000317485,0.057609144,37.13,-84.27
DanielBoone_London_District_FAGR,apr_jun,6.18E-05,-0.001958339,37.13,-84.27
DanielBoone_London_District_FAGR,jun,9.34E-05,-0.038048831,37.13,-84.27
DanielBoone_London_District_FAGR,apr_jun_jul_apr,0.000821038,0.064692864,37.13,-84.27
DanielBoone_London_District_FAGR,apr_jun_jul,0.000325753,-0.002167338,37.13,-84.27
DanielBoone_London_District_FAGR,jun_jul,0.000622409,-0.041473524,37.13,-84.27
DanielBoone_London_District_FAGR,apr_summer_apr,0.02153424,0.049345486,37.13,-84.27
DanielBoone_London_District_FAGR,apr_summer,0.014744684,-0.001763132,37.13,-84.27
DanielBoone_London_District_FAGR,may_aug,0.019172154,-0.033485401,37.13,-84.27
"Fiddler<U+393C><U+3E32>s_Green,_VA_LITU_LITU",apr,0.70697386,-0.00406719,37.7694333,-79.2415167
"Fiddler<U+393C><U+3E32>s_Green,_VA_LITU_LITU",apr_jun_apr,0.073035692,0.045262437,37.7694333,-79.2415167
"Fiddler<U+393C><U+3E32>s_Green,_VA_LITU_LITU",apr_jun,0.031599652,-0.001658316,37.7694333,-79.2415167
"Fiddler<U+393C><U+3E32>s_Green,_VA_LITU_LITU",jun,0.040351526,-0.030361286,37.7694333,-79.2415167
"Fiddler<U+393C><U+3E32>s_Green,_VA_LITU_LITU",apr_jun_jul_apr,0.010569063,0.082268612,37.7694333,-79.2415167
"Fiddler<U+393C><U+3E32>s_Green,_VA_LITU_LITU",apr_jun_jul,0.004636618,-0.002866389,37.7694333,-79.2415167
"Fiddler<U+393C><U+3E32>s_Green,_VA_LITU_LITU",jun_jul,0.005995783,-0.053402306,37.7694333,-79.2415167
"Fiddler<U+393C><U+3E32>s_Green,_VA_LITU_LITU",apr_summer_apr,0.015601624,0.081915177,37.7694333,-79.2415167
