"tag","year","L","K","doy_ip","r","theta","a","b","ML_value","tag_year"
62224,2014,104.0481351,104.3715798,182.1695425,0.078292284,1.474529241,104.0563033,104.3715582,-19.2257,"622242014"
62224,2015,104.3659956,104.7974553,188.9929337,0.031889733,1.131149562,104.4048153,104.7885053,-16.9339,"622242015"
62224,2018,105.4927605,105.8779958,181.7795129,0.073401421,1.149834756,105.5029178,105.8713735,-15.0631,"622242018"
62224,2019,106.0078157,106.3241171,178.3760641,0.117006815,1.251196181,106.0080537,106.324117,-17.7833,"622242019"
110901,2011,50.78018804,51.07400196,175.9037148,0.075182364,2.682919146,50.79983095,51.07400171,-30.1486,"1109012011"
110901,2012,51.05431704,51.42721917,172.3352384,0.067528111,2.351475077,51.06173623,51.41924939,-24.7346,"1109012012"
110901,2013,51.46211365,51.85620957,187.4424308,0.085539759,3.550968478,51.46453647,51.85499647,-22.0244,"1109012013"
110901,2014,52.38539157,52.86160679,205.5162587,0.045769664,3.034299213,52.39925357,52.84778993,-18.2307,"1109012014"
110901,2015,52.72621913,53.34770363,166.4294826,0.048638247,2.02518571,52.75223541,53.34735806,-17.5704,"1109012015"
110901,2016,53.31618994,53.78307138,179.7926432,0.064746758,1.622103321,53.31972118,53.77923559,-20.555,"1109012016"
110901,2017,53.72905868,54.1713214,193.7372986,0.062224796,5.846125968,53.74249991,54.16985553,-15.1836,"1109012017"
110901,2018,54.15210116,54.57898556,201.6627804,0.063298652,9.422986421,54.15446415,54.57894359,-19.2172,"1109012018"
110901,2019,54.5481361,54.9590274,166.7115835,0.067401297,1.513419955,54.55268272,54.95901005,-21.7376,"1109012019"
100960,2011,51.29093031,52.18334008,212.5911377,0.026531271,4.104672875,51.4,52.16877981,-31.1537,"1009602011"
100960,2013,53.0942264,54.04240614,187.65579,0.035174359,2.938498907,53.1699526,54.0366597,-21.7715,"1009602013"
100960,2014,56.25556598,57.09040609,200.2195731,0.029555119,2.991544292,56.35,57.07576623,-19.077,"1009602014"
100960,2015,57.03849364,57.86469829,192.1647629,0.033561397,3.133845086,57.08846955,57.85315626,-17.8989,"1009602015"
100960,2016,58.01734596,58.66251852,203.9103576,0.058286905,8.04362438,58.02739251,58.66239491,-18.3655,"1009602016"
100960,2017,58.79279329,59.2959166,229.9908392,0.028010973,4.61645536,58.85897157,59.28576382,-15.1327,"1009602017"
100960,2018,59.2371265,59.87614613,156.7552035,0.030757118,0.84183437,59.28762694,59.86980378,-18.9329,"1009602018"
100960,2019,59.75889386,60.50248689,180.5058258,0.029833299,2.310596622,59.86387937,60.4957896,-19.9642,"1009602019"
70126,2011,78.89811386,79.32223191,155.5105561,0.033651284,1.140438393,78.94,79.31643288,-31.5749,"701262011"
70126,2012,79.23211356,80.09260594,201.8905874,0.025142022,2.938676263,79.32496456,80.0816126,-24.69,"701262012"
70126,2013,80.0156466,80.72286942,185.1842989,0.034347504,3.003688177,80.07753273,80.71863532,-21.9542,"701262013"
70126,2014,82.0626002,82.66199964,133.9018586,0.044751904,0.574735273,82.1,82.66138361,-19.0942,"701262014"
70126,2015,82.59596963,83.29006369,188.4748039,0.036525069,4.077775221,82.64319324,83.28697314,-17.8665,"701262015"
70126,2016,83.27712754,83.88710442,211.4919689,0.035846298,7.689449773,83.34366754,83.88185278,-19.8338,"701262016"
70126,2017,83.77601844,84.53515392,161.5661418,0.028153096,1.480986291,83.96343066,84.52853195,-15.0188,"701262017"
70126,2018,84.49148868,85.05202486,184.5833854,0.046496623,6.149253426,84.51450645,85.05178128,-19.233,"701262018"
70126,2019,85.00321619,85.56053867,202.7238632,0.055891003,37.85961273,85.04451717,85.55840969,-20.2074,"701262019"
200551,2011,55.98160396,56.23169052,130.0404661,0.100327705,0.080171719,55.99818495,56.23169052,-31.4582,"2005512011"
200551,2012,56.18281045,56.46523977,174.5472601,0.071013538,5.120536181,56.19046829,56.4652391,-24.8438,"2005512012"
200551,2013,56.43278464,56.68124207,193.3959513,0.078380352,7.090920751,56.43529338,56.68123502,-22.0115,"2005512013"
200551,2014,57.59601287,57.86937624,178.6614422,0.069071835,1.558735407,57.59816657,57.86845287,-19.2327,"2005512014"
200551,2015,57.83998136,58.13707242,189.3624006,0.079988653,10.10155122,57.84642475,58.13333585,-17.9256,"2005512015"
200551,2016,58.09413891,58.38390629,155.5105093,0.064815456,0.276715932,58.09593518,58.38350738,-20.4895,"2005512016"
200551,2017,58.32048299,58.64174883,183.5100634,0.04968322,2.933532199,58.34118604,58.64067997,-15.1848,"2005512017"
200551,2018,58.77557361,59.20669503,170.8468111,0.040870173,1.089785122,58.78221034,59.20039663,-18.5132,"2005512018"
200551,2019,59.11020016,59.35578291,190.8041246,0.068185423,2.631271111,59.11386205,59.34766642,-20.2771,"2005512019"
202215,2011,53.47806065,53.66374179,190.0845111,0.035453728,3.909998181,53.5,53.66251553,-31.522,"2022152011"
