"Number","Location","Species","Wood Type","CTW Tmin","CTW Tmax","Latitude","Longitude","Slope April - April:June-July Tmax","P-value April - April:June-July Tmax","Slope June-July - April:June-July Tmax","P-value June-July - April:June-July Tmax"
158,"Montgomery Place, NY","Liriodendron tulipifera","DP",1.978151285,14.80504227,42.0088,-73.91875,0.0260893478196198,0.00215376240006742,-0.0453183355506048,0.00400663860619736
159,"Mohonk Preserve, NY","Betula lenta","DP",2.052941208,15.30000031,41.7986333,-74.11255,-0.023518058586333,0.518858026324614,-0.0119925745370144,0.843969517604794
160,"Mohonk Preserve, NY","Liriodendron tulipifera","DP",2.052941208,15.30000031,41.7986333,-74.11255,0.0164952495280809,0.0597479690284003,-0.0447682958963357,0.0027704974378828
161,"Palmaghatt1, NY","Betula alleghaniensis","DP",2.052941208,15.30000031,41.710008,-74.247273,-0.00344809726086382,0.572768561445471,-0.0323215454991373,0.00188258531376096
162,"Canterbury, IN","Liriodendron tulipifera","DP",3.496638732,15.35546246,41.126197,-85.109915,0.0071999795675929,0.351332059576372,-0.0782425127755575,6.64682489680446e-10
163,"Oppenheim, IN","Acer saccharum","DP",3.526890805,15.4151263,41.339479,-85.763455,0.00167951587451895,0.799797264502685,0.00542342853253119,0.591369544689107
164,"Oppenheim, IN","Liriodendron tulipifera","DP",3.526890805,15.4151263,41.339479,-85.763455,0.00978109568503977,0.24472894477323,-0.0556131539117298,2.87638839883919e-05
165,"Ginn, IN","Liriodendron tulipifera","DP",3.681512672,15.54621878,40.348062,-85.438848,0.0148254401522681,0.203208090634612,-0.104076570193048,1.08528648344695e-08
166,"Davey Woods, OH","Liriodendron tulipifera","DP",2.831932815,15.55714315,40.137556,-83.907942,0.0157027644503941,0.0930735962908493,-0.0804895923422295,1.07907291787134e-07
167,"Hueston Woods, OH","Fagus grandifolia","DP",4.352941251,16.6000003,39.578252,-84.738961,0.016460670753316,0.0456614421744454,-0.0658286413453456,3.78389057311665e-07
168,"Hueston Woods, OH","Liriodendron tulipifera","DP",4.352941251,16.6000003,39.578252,-84.738961,0.0209498326198765,0.0641715194467754,-0.0881443060726311,7.14905088634814e-07
169,"Meltzer, IN","Acer saccharum","DP",4.647899226,16.80924407,39.505057,-85.669107,0.00252940198456956,0.790977157748534,-0.0326787395688508,0.0149818795856821
170,"Meltzer, IN","Liriodendron tulipifera","DP",4.647899226,16.80924407,39.505057,-85.669107,0.0117809569035567,0.288900777039786,-0.0973080514466679,1.72696611321786e-08
171,"Kickapoo, IL","Acer saccharum","DP",4.780672357,17.50840365,40.138291,-87.745765,0.0115470382148855,0.116083667866334,-0.0651785641899723,4.86229274917779e-09
172,"Otter Creek, PA","Liriodendron tulipifera","DP",4.139495885,17.62605081,39.8784667,-76.3863667,0.00385101606686577,0.731173476465206,-0.0326456123560844,0.101374111313539
173,"Latimer Woods, IN","Acer saccharum","DP",5.062184947,18.00672301,39.158303,-86.493394,0.00647390327467147,0.397387670736919,-0.0598292077792046,2.02059619850784e-07
174,"Latimer Woods, IN","Liriodendron tulipifera","DP",5.062184947,18.00672301,39.158303,-86.493394,0.0088609362661681,0.411338530338352,-0.0759738437336824,2.23293175553596e-06
175,"Lily Dicky Nature Preserve, IN","Acer saccharum","DP",5.062184947,18.00672301,39.2361,-86.2204,0.00202014792341763,0.811590298613091,-0.0278642179880898,0.021905509652753
176,"Lily Dicky Nature Preserve, IN","Liriodendron tulipifera","DP",5.062184947,18.00672301,39.2361,-86.2204,0.00803259346019023,0.379226511196546,-0.0749374510679426,6.86462177093419e-08
177,"MMSF Flux Site, IN","Acer saccharum","DP",5.062184947,18.00672301,39.3232,-86.4131,0.00819122644801285,0.323050608643794,-0.0470463089924988,8.74116229345213e-05
178,"MMSF Flux Site, IN","Liriodendron tulipifera","DP",5.062184947,18.00672301,39.3232,-86.4131,0.0144645753682788,0.235216774028648,-0.0454417329381569,0.00561802364510811
179,"Lincoln's New Salem, IL","Acer saccharum","DP",5.921848837,18.0697483,39.982858,-89.852411,0.0133020153806916,0.0895969454713536,-0.0450506072541948,9.91401797661705e-05
180,"Riddle, OH","Liriodendron tulipifera","DP",4.152941237,18.12605082,39.349399,-82.072414,0.00518788487104545,0.592436252920254,-0.0451811891742997,0.00725539856777395
181,"Hoot Woods Site Easement, IN","Liriodendron tulipifera","DP",5.340336215,18.311765,39.25,-86.89,0.00742385163600867,0.43596737712767,-0.0611530627535364,1.67726663923855e-05
182,"Fox Ridge, IL","Acer saccharum","DP",6.356302629,18.64117681,39.395555,-88.161265,0.0141086816154394,0.175402057671109,-0.0861189663126665,3.07561740191953e-08
183,"MOz Flux Site, MO","Acer saccharum","DP",6.889075754,19.09747942,38.7441,-92.2,0.00582062134842486,0.548414807485883,-0.0471108342438743,0.000240330254435576
184,"Donaldson Woods Nature Preserve, IN","Acer saccharum","DP",5.52100849,19.11092478,38.73,-86.42,0.0109848293115848,0.20961659601508,-0.0574624543591367,8.48852822513166e-06
185,"Donaldson Woods Nature Preserve, IN","Liriodendron tulipifera","DP",5.52100849,19.11092478,38.73,-86.42,0.0103590956886682,0.342239111345023,-0.0605480675653971,0.000149985476924944
186,"Pionner Mothers Research Natural Area, IN","Acer saccharum","DP",5.52100849,19.11092478,38.54,-86.45,0.00814103697378152,0.27229019292121,-0.0566546545835669,3.72885747950166e-07
187,"Pionner Mothers Research Natural Area, IN","Liriodendron tulipifera","DP",5.52100849,19.11092478,38.54,-86.45,0.00302337332665805,0.702277515626793,-0.0723839711897309,3.56936354883153e-09
188,"Babler, MO","Acer saccharum","DP",7.336134542,19.21932809,38.620428,-90.694719,0.0174951440264114,0.0373042682903202,-0.0485712841810138,3.81752228391457e-05
189,"Beall Woods, IL","Acer saccharum","DP",7.317647175,19.22352972,38.349771,-87.828127,0.0196751329392015,0.0222930748856607,-0.0633222811613065,8.89556557983886e-07
190,"Beall Woods, IL","Liriodendron tulipifera","DP",7.317647175,19.22352972,38.349771,-87.828127,0.0107042054225153,0.2497521088773,-0.0658675807545715,2.44850649312312e-06
191,"Joyce Kilmer, NC","Liriodendron tulipifera","DP",5.268907665,19.39916002,35.358468,-83.930323,-0.00832160770041777,0.413981136525175,-0.0362530950855233,0.016219777780029
192,"Boogerman, TN","Liriodendron tulipifera","DP",5.304201752,19.6159668,35.621211,-83.086317,0.000269378056056087,0.973261990119206,-0.021018652937937,0.0895295343384113
193,"Porter's Creek, TN","Liriodendron tulipifera","DP",5.304201752,19.6159668,35.677073,-83.397134,-0.00677259452227918,0.444362701517773,-0.0281970402655337,0.0390397695290119
194,"Rainbow Falls, TN","Liriodendron tulipifera","DP",5.304201752,19.6159668,35.664957,-83.463175,0.00675056543832178,0.473752624427703,-0.0387306718311961,0.00811333665504771
195,"Hemmer, IN","Acer saccharum","DP",7.348739628,19.79916011,38.229087,-87.366519,0.0268229810101964,0.00202700335857258,-0.0659608471924086,2.37868241456095e-06
196,"Smithsonian Conservation Biology Institute, VA","Fagus grandifolia","DP",5.006896621,19.8094831,38.8935,-78.1454,0.0115501831147077,0.135521222729737,-0.040260265780909,0.00224495742072473
197,"Smithsonian Conservation Biology Institute, VA","Liriodendron tulipifera","DP",5.006896621,19.8094831,38.8935,-78.1454,0.00124970310099699,0.863617656008635,0.0016065158822926,0.894080033505812
198,"Fiddler's Green, VA","Liriodendron tulipifera","DP",5.067226971,19.85546265,37.7694333,-79.2415167,-0.00189339282691507,0.856917728667634,-0.0531430155440698,0.00663843477417504
199,"Fiddler's Green, VA","Magnolia acuminata","DP",5.067226971,19.85546265,37.7686833,-79.2423833,0.014435424420913,0.113922585741765,-0.020226289190524,0.224861603506307
200,"Wesselman, IN","Liriodendron tulipifera","DP",7.78319337,20.1210088,37.984732,-87.512485,0.0178258653295003,0.0919964032387929,-0.0776096829026799,7.37317782597035e-07
201,"Daniel Boone London District, KY","Fagus grandifolia","DP",5.928571527,20.29831973,37.13,-84.27,-0.000628045934001033,0.931522523169479,-0.0415105898600857,0.000658596044005873
202,"Daniel Boone London District, KY","Liriodendron tulipifera","DP",5.928571527,20.29831973,37.13,-84.27,-0.00684168190487856,0.448229001726827,-0.0410590093268462,0.00581154325709303
203,"Mammoth Cave, KY","Liriodendron tulipifera","DP",7.275630384,20.48739537,37.187032,-86.103961,-0.00914163518363213,0.343295828653347,-0.0480848890843808,0.000699615831417042
204,"Feryne Cliffe Nature Preserve, IL","Liriodendron tulipifera","DP",7.633613602,20.57731133,37.5294,-88.9828,0.00609646077409318,0.545759976907496,-0.101293012430188,9.22680598730727e-11
205,"Frick Creek, GA","Liriodendron tulipifera","DP",6.917647173,20.74117686,34.76,-84.3,-0.0155939453167691,0.0904118671043906,-0.0166168645715098,0.179347901769316
206,"Chinquapin Ridge, TN","Liriodendron tulipifera","DP",6.678991698,20.98571467,35.689201,-83.61108,-0.00518811854113108,0.54362911791172,-0.0396434726917947,0.00392184648141695
207,"Forge Creek, TN","Liriodendron tulipifera","DP",6.678991698,20.98571467,35.553618,-83.838504,-0.00358621176549639,0.692693234942179,-0.0691932184074319,4.16171463587519e-06
208,"Scotts Gap, TN","Liriodendron tulipifera","DP",6.678991698,20.98571467,35.594863,-83.916167,-0.0132874466944975,0.216254769026124,-0.0884466522952535,7.5352640284381e-07
