"Number","Location","Species","Wood Type","CTW Tmin","CTW Tmax","Latitude","Longitude","Slope April Tmax","P-value April Tmax","Slope April - April:June Tmax","P-value April - April:June Tmax","Slope April:June Tmax","P-value April:June Tmax","Slope June Tmax","P-value June Tmax","Slope April - April:June-July Tmax","P-value April - April:June-July Tmax","Slope April:June-July Tmax","P-value April:June-July Tmax","Slope June-July Tmax","P-value June-July Tmax","Slope April - April:May-August Tmax","P-value April - April:May-August Tmax","Slope April:May-August Tmax","P-value April:May-August Tmax","Slope May-August Tmax","P-value May-August Tmax"
76,"Otter Creek, PA","Quercus velutina","RP",4.139495885,17.62605081,39.8784667,-76.3863667,0.002024597,0.799647497,0.058254445,0.002947014,-0.001834405,0.001798351,-0.030605177,0.002098129,0.088721742,0.000656344,-0.002813844,0.000494855,-0.047115734,0.000544237,0.086774084,0.001664553,-0.00294916,0.00137931,-0.048477974,0.001666301
77,"Browning Hill, IN","Quercus rubra","RP",5.062184947,18.00672301,39.060237,-86.279252,0.002064447,0.779280754,0.063892895,5.68e-05,-0.002100583,1.52e-05,-0.038210616,9.44e-06,0.073738459,5.89e-05,-0.002407355,2.47e-05,-0.044402066,1.35e-05,0.056059753,0.00597441,-0.001950848,0.004642921,-0.035452169,0.003907797
78,"Lily Dicky Nature Preserve, IN","Carya ovata","RP",5.062184947,18.00672301,39.2361,-86.2204,0.002594378,0.722515994,-0.016944171,0.294356809,0.000663213,0.176106013,0.011387117,0.191741073,-0.014454527,0.44363744,0.000568607,0.327387287,0.009195176,0.375874918,-0.023994285,0.236751912,0.000954743,0.160529154,0.015677731,0.196517286
79,"Lily Dicky Nature Preserve, IN","Quercus alba","RP",5.062184947,18.00672301,39.2361,-86.2204,-0.003623343,0.676130777,0.089100273,3.91e-07,-0.003147392,6.41e-09,-0.057615052,1.99e-09,0.10863288,1.19e-07,-0.003743914,4.93e-09,-0.068852196,1.53e-09,0.11438096,2.93e-07,-0.004237288,2.12e-08,-0.076906802,1.11e-08
80,"Lily Dicky Nature Preserve, IN","Quercus mongolica","RP",5.062184947,18.00672301,39.2361,-86.2204,-0.002983091,0.682824098,0.066174432,1.19e-05,-0.002347469,4.34e-07,-0.042800067,2.07e-07,0.070829858,7.78e-05,-0.002461773,9.63e-06,-0.045023893,5.78e-06,0.077825516,5.69e-05,-0.002901668,8.9e-06,-0.052767646,5.71e-06
81,"Lily Dicky Nature Preserve, IN","Quercus velutina","RP",5.062184947,18.00672301,39.2361,-86.2204,-0.000496877,0.942922595,0.067134277,2.89e-06,-0.002295658,1.83e-07,-0.042536973,4.63e-08,0.076890368,5.27e-06,-0.002580981,8.22e-07,-0.047729066,3.03e-07,0.079665661,1.4e-05,-0.002878469,3.26e-06,-0.052565623,1.75e-06
82,"MMSF Flux Site, IN","Carya ovata","RP",5.062184947,18.00672301,39.3232,-86.4131,0.00541727,0.474321241,0.077142751,1.16e-06,-0.002437631,4.56e-07,-0.043715662,3.85e-07,0.083454101,6.52e-06,-0.002615525,4.76e-06,-0.047974599,2.78e-06,0.095079051,2.08e-06,-0.003226937,1.65e-06,-0.05883567,9.6e-07
83,"MMSF Flux Site, IN","Quercus alba","RP",5.062184947,18.00672301,39.3232,-86.4131,0.007428923,0.389548796,0.074726055,3.97e-05,-0.002280443,3.23e-05,-0.041864876,1.88e-05,0.080388214,0.000152213,-0.002428057,0.000180551,-0.044910608,0.00012047,0.082562412,0.000297276,-0.002699504,0.00039071,-0.050057695,0.000235487
84,"Lincoln's New Salem, IL","Carya ovata","RP",5.921848837,18.0697483,39.982858,-89.852411,5.04e-05,0.993361213,0.069407537,1.13e-08,-0.002235897,3.09e-10,-0.040882985,1.1e-10,0.077873071,1.43e-07,-0.002479288,1.78e-08,-0.045134052,1.37e-08,0.083788874,2.66e-07,-0.00288094,5.17e-08,-0.053071132,2.9e-08
85,"Lincoln's New Salem, IL","Quercus alba","RP",5.921848837,18.0697483,39.982858,-89.852411,-0.009293064,0.20962454,0.086479822,6.6e-10,-0.0030905,1.66e-13,-0.057760797,1.1e-14,0.102850516,1.7e-09,-0.003566151,4.84e-12,-0.066357616,1.18e-12,0.114307419,9.46e-10,-0.004248662,5.52e-12,-0.078772422,2.1e-12
86,"Riddle, OH","Quercus alba","RP",4.152941237,18.12605082,39.349399,-82.072414,-0.01276741,0.043371101,0.031576622,0.033760413,-0.001533923,0.001270465,-0.028203021,0.000983342,0.035644052,0.049387852,-0.001658909,0.004949095,-0.029120812,0.006640804,0.043136383,0.022118364,-0.002028575,0.001913123,-0.035581943,0.002575373
87,"Riddle, OH","Quercus mongolica","RP",4.152941237,18.12605082,39.349399,-82.072414,-0.015945481,0.017100842,0.045731928,0.002731754,-0.00213351,1.5e-05,-0.040084216,6.76e-06,0.056341254,0.002491302,-0.002477039,5.01e-05,-0.045277257,5.05e-05,0.065226978,0.000738188,-0.002945496,1.29e-05,-0.053460328,1.32e-05
88,"MurphyTract, WV","Quercus alba","RP",3.42857149,18.15546254,39.262113,-80.997378,-0.012026737,0.09847445,0.036357272,0.03828124,-0.001702647,0.002963207,-0.031941744,0.001589627,0.060677188,0.009366342,-0.002505043,0.001232314,-0.045263836,0.000880561,0.085132776,0.000232997,-0.003580793,1.47e-05,-0.062473544,1.87e-05
89,"Hoot Woods Site Easement, IN","Carya ovata","RP",5.340336215,18.311765,39.25,-86.89,-0.002197039,0.798576962,0.081930075,5.28e-06,-0.00279094,2.55e-07,-0.050513114,2.09e-07,0.091334794,1.62e-05,-0.003065113,2.15e-06,-0.056433518,1.4e-06,0.086278569,0.000173851,-0.003123432,4.12e-05,-0.058427353,2.19e-05
90,"Hoot Woods Site Easement, IN","Fraxinus americana","RP",5.340336215,18.311765,39.25,-86.89,-0.010751333,0.197923642,0.066435365,0.000131389,-0.00256069,1.17e-06,-0.047332704,6.59e-07,0.078982029,0.000103248,-0.002940634,2.59e-06,-0.054203356,1.99e-06,0.077929042,0.000394763,-0.003130661,1.99e-05,-0.057028386,2.07e-05
91,"Hoot Woods Site Easement, IN","Quercus rubra","RP",5.340336215,18.311765,39.25,-86.89,0.007257539,0.256783567,0.061829155,6.85e-06,-0.001810429,8.89e-06,-0.031600936,1.91e-05,0.071811083,7.18e-06,-0.002115471,1.18e-05,-0.037675888,1.91e-05,0.061621991,0.000400714,-0.001919214,0.00078811,-0.034642873,0.000885442
92,"Bent Creek, NC","Quercus stellata","RP",4.328571487,18.50252136,35.5,-82.6,-0.003160588,0.637461524,0.029110911,0.02570475,-0.001202596,0.004599229,-0.022245694,0.004824722,0.036240779,0.024473329,-0.001470863,0.007716266,-0.027014332,0.009396534,0.038262483,0.038424953,-0.001652144,0.016814334,-0.029403725,0.021272556
93,"Potomac River, Dranesville, VA","Quercus mongolica","RP",5.266386641,18.5344542,39.0581167,-77.3299167,-0.003026504,0.614342764,0.020946651,0.164619897,-0.000779432,0.084050024,-0.015741753,0.052288452,0.047560424,0.01300732,-0.001644625,0.005673905,-0.030656686,0.003898513,0.067645794,0.000597899,-0.002472805,0.000190335,-0.044386859,0.000163268
94,"Fox Ridge, IL","Carya ovata","RP",6.356302629,18.64117681,39.395555,-88.161265,0.003434231,0.615524916,0.057501441,5.47e-05,-0.001727912,2.07e-05,-0.032737409,1.16e-05,0.058612513,0.000620531,-0.001746205,0.000474607,-0.033368971,0.000336806,0.047326486,0.012325334,-0.00150473,0.012902502,-0.029886793,0.008242428
95,"Fox Ridge, IL","Quercus alba","RP",6.356302629,18.64117681,39.395555,-88.161265,-0.010203344,0.167474417,0.07071151,7.41e-07,-0.002587644,6.45e-10,-0.050132777,8.1e-11,0.092478815,4.17e-08,-0.00324561,1.24e-10,-0.062434436,3.57e-11,0.100389276,5.55e-08,-0.003788022,3.73e-10,-0.072704635,1.63e-10
96,"Lil Scaly Mountain, NC","Quercus alba","RP",4.494958052,18.71680708,35.031278,-83.257678,-0.004448694,0.5223084,0.021691992,0.113937523,-0.000939696,0.028558304,-0.018199642,0.022431738,0.019800696,0.247755604,-0.000861454,0.122577187,-0.016651303,0.11446845,0.017374593,0.368885001,-0.000830166,0.227190476,-0.015259816,0.233876112
97,"MOz Flux Site, MO","Carya ovata","RP",6.889075754,19.09747942,38.7441,-92.2,-0.007720698,0.331275465,0.072573841,4.61e-07,-0.002617313,5.72e-10,-0.050445674,2.29e-10,0.091937324,8.68e-08,-0.003083659,5.08e-10,-0.061324969,8.12e-11,0.093260014,8.15e-07,-0.003391215,1.42e-08,-0.068308976,2.3e-09
98,"MOz Flux Site, MO","Quercus alba","RP",6.889075754,19.09747942,38.7441,-92.2,0.001446744,0.872365663,0.103295825,5.37e-10,-0.003329372,8.45e-12,-0.062357754,9.98e-12,0.134113639,4.66e-12,-0.004111409,1.79e-13,-0.078801662,1.3e-13,0.147382863,2.28e-12,-0.004882694,1.45e-13,-0.094137578,8.78e-14
99,"Donaldson Woods Nature Preserve, IN","Carya ovata","RP",5.52100849,19.11092478,38.73,-86.42,0.008313393,0.330054827,0.093580468,5.02e-08,-0.002829627,2.35e-08,-0.053359133,2.64e-08,0.09759948,1.49e-06,-0.002922677,1.54e-06,-0.054742118,2.14e-06,0.107740425,4.62e-07,-0.003496381,4.96e-07,-0.066085833,5.16e-07
100,"Donaldson Woods Nature Preserve, IN","Quercus alba","RP",5.52100849,19.11092478,38.73,-86.42,-0.004345184,0.558306038,0.075599428,1.75e-07,-0.002652999,1.13e-09,-0.050161806,1.03e-09,0.085948645,4.42e-07,-0.002955664,1.23e-08,-0.055297911,1.87e-08,0.09358911,1.98e-07,-0.003443888,7.05e-09,-0.064321574,1.08e-08
101,"Donaldson Woods Nature Preserve, IN","Quercus rubra","RP",5.52100849,19.11092478,38.73,-86.42,0.00241499,0.698747967,0.059971755,2.18e-06,-0.001910048,3.63e-07,-0.03586324,4.06e-07,0.072301661,7.96e-07,-0.002287659,2.25e-07,-0.0430048,2.64e-07,0.070029109,8.42e-06,-0.00237767,3.68e-06,-0.044973742,3.41e-06
102,"Donaldson Woods Nature Preserve, IN","Quercus velutina","RP",5.52100849,19.11092478,38.73,-86.42,-0.007833328,0.224153556,0.060665742,1.16e-06,-0.002273173,1.82e-09,-0.043929583,7.75e-10,0.067463142,4.85e-06,-0.002464743,4.96e-08,-0.047206048,3.81e-08,0.069131358,1.17e-05,-0.002706486,2.24e-07,-0.051260416,2.36e-07
103,"Pionner Mothers Research Natural Area, IN","Carya ovata","RP",5.52100849,19.11092478,38.54,-86.45,0.000398446,0.964850406,0.085602898,2.69e-06,-0.002826472,1.93e-07,-0.053698113,1.45e-07,0.095381579,9.17e-06,-0.003106576,1.76e-06,-0.058726895,1.69e-06,0.104025457,4.34e-06,-0.003642082,9.24e-07,-0.068793415,8.63e-07
104,"Pionner Mothers Research Natural Area, IN","Quercus alba","RP",5.52100849,19.11092478,38.54,-86.45,-0.007301223,0.319985085,0.080452739,4.7e-09,-0.002920624,3.31e-12,-0.055426259,2.76e-12,0.08907703,9.2e-08,-0.003171771,7.62e-10,-0.059810771,8.97e-10,0.084024161,3.46e-06,-0.003229776,8.88e-08,-0.06106394,8.23e-08
105,"Pionner Mothers Research Natural Area, IN","Quercus rubra","RP",5.52100849,19.11092478,38.54,-86.45,0.010232005,0.135888951,0.092302392,3.94e-12,-0.002722506,3.5e-12,-0.049735348,3.81e-11,0.10500699,2.08e-11,-0.003099768,3.8e-11,-0.057744399,1.33e-10,0.097716609,9.58e-09,-0.00307474,2.52e-08,-0.058577318,2.45e-08
106,"Babler, MO","Carya ovata","RP",7.336134542,19.21932809,38.620428,-90.694719,0.000865536,0.913006462,0.070523317,6.92e-06,-0.002234006,5.93e-07,-0.042307895,5.08e-07,0.082340472,1.17e-05,-0.00254481,2.57e-06,-0.048224286,2.94e-06,0.079751349,0.00013719,-0.002637688,5.43e-05,-0.049659111,6.85e-05
107,"Babler, MO","Quercus alba","RP",7.336134542,19.21932809,38.620428,-90.694719,-0.000464871,0.947992548,0.087761038,1.46e-11,-0.002841958,5.7e-14,-0.05381834,3.89e-14,0.112835802,1.37e-13,-0.003544479,1.89e-15,-0.067845013,1.36e-15,0.124476338,1.45e-13,-0.004180539,4.42e-15,-0.080028706,3.4e-15
108,"Beall Woods, IL","Fraxinus americana","RP",7.317647175,19.22352972,38.349771,-87.828127,-0.010935725,0.118752575,0.058537233,3.62e-05,-0.002198666,8.6e-08,-0.042141401,6.98e-08,0.069473955,4.68e-05,-0.002529312,5.71e-07,-0.048039076,7.53e-07,0.078657133,1.9e-05,-0.00303387,3.14e-07,-0.057172423,5.48e-07
109,"Beall Woods, IL","Quercus alba","RP",7.317647175,19.22352972,38.349771,-87.828127,-0.000395536,0.957097842,0.080234678,4e-08,-0.002559153,1.04e-09,-0.047212941,2.67e-09,0.08673796,1.09e-06,-0.002745477,1.43e-07,-0.05067038,3.39e-07,0.094000705,1.04e-06,-0.003195136,1.86e-07,-0.05988422,2.83e-07
110,"Saunders, IN","Carya ovata","RP",7.317647175,19.22352972,38.37071,-87.717271,-0.005042534,0.544796736,0.067896965,7.5e-05,-0.002309506,2.44e-06,-0.043933318,2.01e-06,0.08122496,7.27e-05,-0.002717882,6.2e-06,-0.050867466,8.82e-06,0.06634046,0.0034401,-0.00241581,0.000807728,-0.045572726,0.000896816
111,"Saunders, IN","Quercus pagoda","RP",7.317647175,19.22352972,38.37071,-87.717271,0.00939478,0.20761063,0.054543739,0.000396557,-0.001433967,0.000836141,-0.025374806,0.002062647,0.067764568,0.000203623,-0.001825442,0.000461645,-0.032850389,0.001116029,0.07972312,3.3e-05,-0.002396857,7.28e-05,-0.044562538,0.000130187
112,"Joyce Kilmer, NC","Quercus rubra","RP",5.268907665,19.39916002,35.358468,-83.930323,0.01119002,0.143485851,0.005094442,0.734524465,0.000215236,0.637524222,0.004586745,0.603702354,0.002725556,0.881015507,0.0002916,0.60877831,0.006626462,0.555539236,-0.000491186,0.980828668,0.000434217,0.538195392,0.007057831,0.606867097
113,"Joyce Kilmer, NC","Quercus rubra","RP",5.304201752,19.6159668,35.59803,-83.422387,0.010424929,0.10236823,0.017299382,0.187328813,-0.00023512,0.547416688,-0.003096168,0.686810109,0.015952778,0.31881934,-0.000185849,0.705878999,-0.001140123,0.907615854,0.000716589,0.967706179,0.000351022,0.55696596,0.00857893,0.466544477
114,"Greenbriar, TN","Quercus mongolica","RP",5.304201752,19.6159668,35.706691,-83.33878,0.012798453,0.056429013,0.029396561,0.032573599,-0.000567688,0.164669241,-0.009187467,0.254894867,0.029179572,0.082184565,-0.000550742,0.285308257,-0.008036645,0.436848968,0.041560886,0.025240414,-0.001039955,0.095375823,-0.019234937,0.119685471
115,"Blanton Forest, KY","Quercus alba","RP",5.65630263,19.76722731,36.875187,-83.360369,-0.003698637,0.514968766,0.035555928,0.00610382,-0.001359856,0.000915948,-0.026005911,0.001055064,0.041434255,0.007437172,-0.001544204,0.001914871,-0.029497769,0.002663919,0.021739068,0.203245944,-0.000931002,0.115376731,-0.016355927,0.154396402
116,"Blanton Forest, KY","Quercus mongolica","RP",5.65630263,19.76722731,36.875187,-83.360369,-0.000896888,0.869535731,0.027475029,0.029253881,-0.000979566,0.013087297,-0.018561716,0.014865936,0.026211566,0.080961156,-0.00092698,0.053315125,-0.017759976,0.059828791,0.006352027,0.698073393,-0.000265458,0.638542192,-0.00437433,0.689346669
117,"Hemmer, IN","Carya ovata","RP",7.348739628,19.79916011,38.229087,-87.366519,0.006268622,0.474679676,0.088893465,3.07e-07,-0.002640797,7.97e-08,-0.05038249,1.52e-07,0.100993584,7.76e-07,-0.003018725,4.24e-07,-0.058135993,6.71e-07,0.106021227,1.97e-06,-0.003396817,1.43e-06,-0.066326245,1.51e-06
118,"Hemmer, IN","Quercus alba","RP",7.348739628,19.79916011,38.229087,-87.366519,-0.002869936,0.744538831,0.102973002,2.67e-10,-0.003382877,7.45e-13,-0.065286362,1.15e-12,0.115234066,3.74e-09,-0.003763775,8.2e-11,-0.07299354,1.19e-10,0.118221517,4.19e-08,-0.004123457,2.27e-09,-0.080693835,2.09e-09
119,"Bear Island, MD","Carya glabra","RP",7.004201799,19.79916015,38.9845667,-77.2423167,0.000854907,0.926278454,0.05119973,0.022785735,-0.001591345,0.014485952,-0.031931847,0.010962644,0.092498639,0.001274222,-0.002890919,0.000796272,-0.056525402,0.000613109,0.119955993,5.59e-05,-0.004044469,2.95e-05,-0.079015041,1.76e-05
120,"Smithsonian Conservation Biology Institute, VA","Carya cordiformis","RP",5.006896621,19.8094831,38.8935,-78.1454,0.001217735,0.855423632,0.049947175,0.001153821,-0.001562556,0.000486813,-0.030969824,0.000333738,0.057739132,0.001913614,-0.001813683,0.001199109,-0.035922942,0.000901464,0.062663541,0.001498,-0.002127484,0.000986928,-0.04216242,0.000657771
121,"Smithsonian Conservation Biology Institute, VA","Carya glabra","RP",5.006896621,19.8094831,38.8935,-78.1454,0.007109479,0.213846977,0.024818509,0.065751845,-0.000567857,0.146042218,-0.010143097,0.181613385,0.028982778,0.074263114,-0.00070188,0.149105034,-0.012664626,0.181601747,0.042783472,0.012533385,-0.001235167,0.026881104,-0.02287885,0.034017186
122,"Smithsonian Conservation Biology Institute, VA","Carya ovalis","RP",5.006896621,19.8094831,38.8935,-78.1454,0.010383324,0.08641486,0.0293809,0.039347253,-0.000609178,0.139476418,-0.010885031,0.177054025,0.035318511,0.039519515,-0.000800213,0.118981273,-0.015075452,0.13408116,0.056777607,0.001631679,-0.001606375,0.006083209,-0.030582893,0.007268911
123,"Smithsonian Conservation Biology Institute, VA","Carya tomentosa","RP",5.006896621,19.8094831,38.8935,-78.1454,0.005512663,0.55524949,0.030451821,0.167788569,-0.000799698,0.212004289,-0.01601321,0.195739492,0.037286581,0.160682551,-0.001019575,0.201252647,-0.020394188,0.186864122,0.047400769,0.092314386,-0.001450323,0.114587409,-0.029364719,0.096250439
124,"Smithsonian Conservation Biology Institute, VA","Fraxinus americana","RP",5.006896621,19.8094831,38.8935,-78.1454,-0.005120053,0.326803731,0.026890599,0.025368587,-0.001026452,0.0035543,-0.021923432,0.001251711,0.020624517,0.160925115,-0.000826103,0.062423091,-0.017824681,0.038132052,0.037354975,0.015328768,-0.001470644,0.003669025,-0.029636229,0.002341098
125,"Smithsonian Conservation Biology Institute, VA","Fraxinus nigra","RP",5.006896621,19.8094831,38.8935,-78.1454,-0.013467343,0.087408941,-0.006714445,0.71739266,-0.000216538,0.687797577,-0.005334429,0.612364932,-0.021239164,0.342608228,0.000249386,0.710178209,0.004776894,0.716372033,-0.006240872,0.792413295,-0.000250207,0.746710976,-0.003822055,0.799647604
126,"Smithsonian Conservation Biology Institute, VA","Quercus alba","RP",5.006896621,19.8094831,38.8935,-78.1454,0.008090152,0.196703236,0.034780774,0.01813995,-0.00085586,0.044573579,-0.015610411,0.059690579,0.041593829,0.018898634,-0.00107508,0.042719463,-0.020495617,0.047498087,0.06678078,0.000310703,-0.002032089,0.000746991,-0.039552251,0.000685065
127,"Smithsonian Conservation Biology Institute, VA","Quercus montana","RP",5.006896621,19.8094831,38.8935,-78.1454,0.000427354,0.952258764,0.012867364,0.446258827,-0.000398901,0.416332607,-0.008759131,0.354687818,0.011588558,0.569248355,-0.000358146,0.558151276,-0.008000963,0.498709055,0.03925878,0.06704198,-0.001344489,0.055032664,-0.026550648,0.048234415
128,"Smithsonian Conservation Biology Institute, VA","Quercus rubra","RP",5.006896621,19.8094831,38.8935,-78.1454,0.005085618,0.338568033,0.016699189,0.18379133,-0.0003724,0.306710176,-0.006695352,0.3428988,0.034683999,0.020943638,-0.000949766,0.034927807,-0.018128794,0.03824386,0.049647963,0.001660067,-0.001542915,0.002715409,-0.028990627,0.003493387
129,"Smithsonian Conservation Biology Institute, VA","Quercus velutina","RP",5.006896621,19.8094831,38.8935,-78.1454,0.006232523,0.357597861,0.027695507,0.08308957,-0.000688231,0.1374546,-0.013105454,0.144179351,0.049334764,0.009766912,-0.001383083,0.015679902,-0.026757626,0.016067676,0.06309605,0.001716089,-0.001968828,0.002694152,-0.037891289,0.00272028
130,"Blue Ridge Parkway, VA","Quercus mongolica","RP",5.067226971,19.85546265,37.5364333,-79.4948833,-0.006039532,0.155646197,4.27e-05,0.99659644,-0.000204467,0.502748598,-0.004709144,0.42495808,0.011521155,0.367588087,-0.000583023,0.147076593,-0.012480774,0.108301333,0.000990552,0.941588689,-0.000250853,0.584134122,-0.005360786,0.546206014
131,"Fiddler's Green, VA","Carya ovata","RP",5.067226971,19.85546265,37.7707167,-79.2416,0.016494033,0.072662649,0.060830189,0.004611953,-0.00149045,0.021674886,-0.026385682,0.037317159,0.089247473,0.00112748,-0.002415448,0.00464157,-0.044520655,0.00749662,0.102773717,0.000328745,-0.003078705,0.001384089,-0.059704411,0.001483896
132,"Fiddler's Green, VA","Quercus rubra","RP",5.067226971,19.85546265,37.7694333,-79.2415167,0.00482295,0.504479279,0.040561919,0.016314205,-0.001201438,0.019364682,-0.021964048,0.026212347,0.071835669,0.000792872,-0.002224854,0.000907813,-0.041660743,0.001235975,0.078991119,0.000423703,-0.002646531,0.000485808,-0.051453753,0.00041958
133,"Irish Creek, VA","Quercus alba","RP",5.067226971,19.85546265,37.6754667,-79.2880333,0.000970738,0.8954345,0.020688769,0.235299867,-0.000662862,0.211861059,-0.012865855,0.205969304,0.047996395,0.030649578,-0.001561274,0.025002302,-0.029294297,0.028245909,0.070492264,0.002169597,-0.002480726,0.001476717,-0.048293609,0.001253965
134,"Irish Creek, VA","Quercus mongolica","RP",5.067226971,19.85546265,37.6754667,-79.2880333,0.010166627,0.298091166,-0.01346881,0.552805185,0.000794309,0.249986737,0.016133748,0.225278625,-0.01592499,0.584392357,0.000866177,0.342241345,0.017330005,0.324140043,-0.004840833,0.875142569,0.000535095,0.607670655,0.009288347,0.644286171
135,"Mt Pleasant, VA","Carya glabra","RP",5.067226971,19.85546265,37.73505,-79.2239667,0.021182533,0.51007795,0.041561798,0.580752911,-0.00068488,0.764198363,-0.010381892,0.812937588,0.011803142,0.902484927,0.000311373,0.91769391,0.008791017,0.879301022,-0.029952189,0.768065011,0.001823223,0.595641713,0.038052706,0.564741643
136,"Mt Pleasant, VA","Quercus velutina","RP",5.067226971,19.85546265,37.73505,-79.2239667,-0.007042632,0.279040397,0.012566386,0.409870068,-0.000659197,0.157021618,-0.012779441,0.154585143,0.032676893,0.092925537,-0.001318707,0.031293954,-0.025446966,0.031058779,0.01658861,0.421432685,-0.00084323,0.22864066,-0.016824575,0.213298415
137,"Feryne Cliffe Nature Preserve, IL","Quercus alba","RP",7.633613602,20.57731133,37.5294,-88.9828,-0.005105025,0.472666589,0.084321668,1.03e-11,-0.002750253,2.46e-15,-0.056281715,5.67e-16,0.092694699,2.29e-09,-0.002998891,1.57e-11,-0.06201246,5.57e-12,0.102880945,1.52e-09,-0.003529779,2.11e-11,-0.072712636,9.67e-12
138,"Giant City State Park, IL","Quercus alba","RP",7.57899172,20.59663911,37.6,-89.2,-0.00213788,0.770158702,0.083674754,5.24e-11,-0.002640204,6.77e-14,-0.053594907,3.98e-14,0.093033842,3.41e-09,-0.002917109,6.68e-11,-0.059853006,4.18e-11,0.099300767,9e-09,-0.003328447,3.74e-10,-0.068804003,1.75e-10
139,"Chinquapin Ridge, TN","Quercus alba","RP",6.678991698,20.98571467,35.689201,-83.61108,-0.000180202,0.977004478,0.031774545,0.013289519,-0.001044413,0.004730719,-0.021262429,0.005515972,0.042200497,0.006345894,-0.001370252,0.002908185,-0.028361581,0.003471768,0.029581005,0.08624829,-0.001038026,0.064471464,-0.019942257,0.088382014
140,"Big Canoe, GA","Quercus alba","RP",8.691596756,21.98067258,34.475663,-84.329251,0.001235912,0.854867622,0.035693254,0.001388728,-0.001169612,0.000168864,-0.025273749,0.000181544,0.038221939,0.004825461,-0.001223421,0.001869336,-0.02672561,0.002008263,0.032600009,0.043277837,-0.001112446,0.032711093,-0.023706396,0.035317345
141,"Three Ponds, KY","Carya tomentosa","RP",9.179832109,22.26470633,36.670247,-89.127605,-0.003865128,0.671162274,0.057292652,0.000771875,-0.001787084,3.97e-05,-0.038899907,3.66e-05,0.063529704,0.001850929,-0.001997018,0.00028691,-0.043736239,0.000305582,0.077265673,0.00072508,-0.002555383,0.000137719,-0.056413286,0.000130454
142,"Sipsey Wilderness, AL","Carya glabra","RP",9.513445549,22.91596674,34.357419,-87.427427,0.004155111,0.635052478,0.053925803,0.000326384,-0.001538221,7.08e-05,-0.034609282,6.64e-05,0.06446947,0.000340959,-0.001868577,0.000155174,-0.042440593,0.000167538,0.091789936,3.42e-06,-0.002895979,1.2e-06,-0.065949668,1.21e-06
143,"UMB MI Flux Site, MI","Acer rubrum","DP",-1.488235324,10.05546234,45.5598,-84.7138,-0.002076674,0.832722079,0.063741208,0.056443148,-0.002684797,0.039749439,-0.027512349,0.039185439,0.093621868,0.028955642,-0.003683833,0.022044601,-0.040752509,0.012760517,0.078461262,0.105790289,-0.003321326,0.090255329,-0.036598409,0.069254761
144,"UMB MI Flux Site, MI","Populus grandidentata","DP",-1.488235324,10.05546234,45.5598,-84.7138,-0.008251907,0.405551085,0.010565757,0.750273633,-0.000771208,0.552749146,-0.006953088,0.617607377,-0.010113756,0.815258507,7.14e-05,0.964739064,0.000310127,0.985335746,-0.029380037,0.549036528,0.00086349,0.659698768,0.007735696,0.708515965
145,"Goose Egg Ridge, NY","Fagus grandifolia","DP",-0.589915974,12.47479012,43.069875,-73.286652,0.00171233,0.810568014,0.045317372,0.034085125,-0.001718383,0.030724909,-0.022718463,0.023288179,0.077469824,0.00875244,-0.002831271,0.008301475,-0.038127141,0.004904573,0.060085817,0.066721137,-0.002322116,0.067994644,-0.031335889,0.049901684
146,"Lincoln coln Mountain Sta.Forest, NY","Nyssa sylvatica","DP",0.289915971,13.01764731,43.1746667,-73.8168333,0.009691038,0.095089129,0.02644999,0.110667481,-0.000656957,0.278951443,-0.006534326,0.418636392,0.01676643,0.473957042,-0.000261349,0.754868545,-0.000339144,0.975660666,0.03130061,0.2093268,-0.000855216,0.371897152,-0.00786474,0.534092047
147,"Prospect Mountain ADKs, NY","Betula lenta","DP",0.289915971,13.01764731,43.4175,-73.729,-0.004715224,0.541974667,0.052134669,0.016156222,-0.0022252,0.005350954,-0.030673017,0.003405659,0.071795152,0.019512867,-0.002828008,0.010417041,-0.038790161,0.00731676,0.100303524,0.00192719,-0.004151484,0.000881095,-0.054624136,0.000780264
148,"Harvard Forest, MA","Acer rubrum","DP",0.596638667,14.38823551,42.5388,-72.1755,-0.021125561,0.014541603,0.01962101,0.359834279,-0.001500425,0.040143955,-0.026496737,0.013940301,0.055230444,0.055544322,-0.00269577,0.00612188,-0.04712963,0.001188173,0.011196111,0.733833241,-0.001199421,0.310473403,-0.026574553,0.128256582
149,"Harvard Forest, MA","Betula alleghaniensis","DP",0.596638667,14.38823551,42.5388,-72.1755,-0.016298442,0.106699346,0.027816577,0.290192209,-0.001617444,0.071320219,-0.027512429,0.034449334,0.041773274,0.251013418,-0.002044477,0.098127393,-0.036894711,0.040865937,-0.039760314,0.323027559,0.000870469,0.546314617,0.003136595,0.881654536
150,"Harvard Forest LyfordPlots, MA","Acer rubrum","DP",0.596638667,14.38823551,42.53,-72.18,-0.008668104,0.193617388,0.003968289,0.814655378,-0.000465314,0.417521772,-0.009417306,0.257718974,0.021158711,0.355559597,-0.001053044,0.17460576,-0.019136698,0.090270284,-0.007494567,0.771097282,-4.35e-05,0.962372842,-0.004952217,0.71196789
